Titre du bulletin (ANSSI),Lien du bulletin (ANSSI),Type de bulletin,Identifiant CVE,Score CVSS,Base severity,Score Epss,Type CWE,Description CWE,Editeur,Produit,Versions affectées 
[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/,alerte,CVE-2024-47076,8.6,Elevée,0.000450000,CWE-20,CWE-20: Improper Input Validation,OpenPrinting,libcupsfilters,['<= 2.1b1']
[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/,alerte,CVE-2024-47177,9.1,Critique,0.000440000,CWE-77,CWE-77: Improper Neutralization of Special Elements used in a Command ('Command Injection'),OpenPrinting,cups-filters,['<= 2.0.1']
[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/,alerte,CVE-2024-47176,5.3,Moyenne,0.000630000,CWE-1327,CWE-1327: Binding to an Unrestricted IP Address,OpenPrinting,cups-browsed,['<= 2.0.1']
[MàJ] Vulnérabilités affectant OpenPrinting CUPS (27 septembre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-012/,alerte,CVE-2024-47175,8.6,Elevée,0.000450000,CWE-20,CWE-20: Improper Input Validation,OpenPrinting,libppd,['<= 2.1b1']
Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/,alerte,CVE-2024-9380,7.2,Elevée,0.042720000,CWE-77,CWE-77 Improper Neutralization of Special Elements used in a Command ('Command Injection'),Ivanti,CSA (Cloud Services Appliance),[]
Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/,alerte,CVE-2024-8963,9.4,Critique,0.967990000,CWE-22,CWE-22 Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal'),Ivanti,CSA (Cloud Services Appliance),[]
Exploitations de vulnérabilités dans Ivanti Cloud Services Appliance (CSA) (22 octobre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-013/,alerte,CVE-2024-8190,7.2,Elevée,0.113310000,CWE-78,CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Ivanti,CSA (Cloud Services Appliance),[]
[MàJ] Multiples vulnérabilités dans Fortinet FortiManager (23 octobre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-014/,alerte,CVE-2024-47575,9.8,Critique,0.871460000,CWE-306,Execute unauthorized code or commands,Fortinet,FortiManager,"['7.6.0', '7.4.0', '7.2.0', '7.0.0', '6.4.0', '6.2.0']"
[MàJ] Multiples vulnérabilités sur l'interface d'administration des équipements Palo Alto Networks (15 novembre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-015/,alerte,CVE-2024-9474,6.9,Moyenne,0.974900000,CWE-78,CWE-78 Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),Palo Alto Networks,Prisma Access,[]
[MàJ] Multiples vulnérabilités sur l'interface d'administration des équipements Palo Alto Networks (15 novembre 2024),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-015/,alerte,CVE-2024-0012,9.3,Critique,0.970420000,CWE-306,CWE-306 Missing Authentication for Critical Function,Palo Alto Networks,Prisma Access,[]
Vulnérabilité dans les produits Ivanti (09 janvier 2025),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2025-ALE-001/,alerte,CVE-2025-0282,9.0,Elevée,0.019460000,CWE-121,CWE-121: Stack-based Buffer Overflow,Ivanti,Neurons for ZTA gateways,['22.7R2']
Multiples vulnérabilités dans Apache Tomcat (18 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1091/,avis,CVE-2024-54677,Non disponible,Non disponible,0.000430000,CWE-400,CWE-400 Uncontrolled Resource Consumption,Apache Software Foundation,Apache Tomcat,"['11.0.0-M1', '10.1.0-M1', '9.0.0.M1']"
Multiples vulnérabilités dans Apache Tomcat (18 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1091/,avis,CVE-2024-56337,Non disponible,Non disponible,0.000430000,CWE-367,CWE-367 Time-of-check Time-of-use (TOCTOU) Race Condition,Apache Software Foundation,Apache Tomcat,"['11.0.0-M1', '10.1.0-M1', '9.0.0.M1']"
Multiples vulnérabilités dans Apache Tomcat (18 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1091/,avis,CVE-2024-50379,Non disponible,Non disponible,0.000430000,CWE-367,CWE-367 Time-of-check Time-of-use (TOCTOU) Race Condition,Apache Software Foundation,Apache Tomcat,"['11.0.0-M1', '10.1.0-M1', '9.0.0.M1']"
Multiples vulnérabilités dans les produits Fortinet (19 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1096/,avis,CVE-2023-34990,9.6,Non disponible,0.000430000,CWE-23,Execute unauthorized code or commands,Fortinet,FortiWLM,"['8.6.0', '8.5.0']"
Multiples vulnérabilités dans les produits Fortinet (19 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1096/,avis,CVE-2024-50570,4.9,Non disponible,0.000430000,CWE-312,Information disclosure,Fortinet,FortiClientWindows,"['7.4.0', '7.2.0', '7.0.0']"
Multiples vulnérabilités dans les produits Fortinet (19 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1096/,avis,CVE-2024-48889,7.2,Non disponible,0.000430000,CWE-78,Execute unauthorized code or commands,Fortinet,FortiManager,"['7.6.0', '7.4.0', '7.2.3', '7.0.5', '6.4.10']"
Vulnérabilité dans Trend Micro Deep Security Agent (19 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1097/,avis,CVE-2024-55955,6.7,Non disponible,0.000430000,CWE-427,CWE-427: Uncontrolled Search Path Element,"Trend Micro, Inc.",Trend Micro Deep Security,['20']
Multiples vulnérabilités dans Microsoft Edge (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1098/,avis,CVE-2024-12692,8.8,Non disponible,0.000430000,CWE-843,Type Confusion,Google,Chrome,['131.0.6778.204']
Multiples vulnérabilités dans Microsoft Edge (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1098/,avis,CVE-2024-12695,8.8,Non disponible,0.000430000,CWE-787,Out of bounds write,Google,Chrome,['131.0.6778.204']
Multiples vulnérabilités dans Microsoft Edge (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1098/,avis,CVE-2024-12694,8.8,Non disponible,0.000430000,CWE-416,Use after free,Google,Chrome,['131.0.6778.204']
Multiples vulnérabilités dans Microsoft Edge (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1098/,avis,CVE-2024-12693,8,Non disponible,0.000430000,Non disponible,Out of bounds memory access,Google,Chrome,['131.0.6778.204']
Multiples vulnérabilités dans Sophos Firewall (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1099/,avis,CVE-2024-12728,9.8,Non disponible,0.000430000,CWE-1391,CWE-1391 Use of Weak Credentials,Sophos,Sophos Firewall,['0']
Multiples vulnérabilités dans Sophos Firewall (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1099/,avis,CVE-2024-12727,9.8,Non disponible,0.000430000,CWE-89,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),Sophos,Sophos Firewall,['0']
Multiples vulnérabilités dans Sophos Firewall (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1099/,avis,CVE-2024-12729,8.8,Non disponible,0.000430000,CWE-94,CWE-94 Improper Control of Generation of Code ('Code Injection'),Sophos,Sophos Firewall,['0']
Multiples vulnérabilités dans le noyau Linux de Red Hat (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1100/,avis,CVE-2024-38627,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.7']
Multiples vulnérabilités dans le noyau Linux de Red Hat (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1100/,avis,CVE-2024-40989,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.13']
Multiples vulnérabilités dans le noyau Linux de Red Hat (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1100/,avis,CVE-2021-47384,5.3,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux de Red Hat (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1100/,avis,CVE-2024-39499,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['3.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2022-38096,6.3,Non disponible,0.000420000,CWE-476,CWE-476 NULL Pointer Dereference,Linux,kernel,['v4.20-rc1']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2021-47076,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['4.8']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2023-52532,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.13']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2021-47101,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['4.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2023-52639,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['4.8']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2023-52497,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.3']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2023-52621,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-26800,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,"['6.6.18', '6.7.6']"
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2023-52488,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['3.16']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2021-47001,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.5']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-26960,5.5,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.11']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2023-52498,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-27072,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['3.11']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-27398,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['5.15']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-36953,4.4,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.7']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2021-47501,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.12']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2023-52821,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-26921,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.1']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-35904,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['4.17']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-35951,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.4']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-35963,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.16']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-35965,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['2.6.39']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-35966,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['2.6.30']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-35967,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['3.8']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-36893,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.6']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-36938,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.20']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-36952,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-26947,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.14']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2022-48733,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-38544,6.3,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,['4.12']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-38545,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-38553,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.2']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-38597,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['3.1']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-38630,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.12']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-40910,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.18']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-39463,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['5.11']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-36968,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.39']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-38538,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['2.6.12']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-41016,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-42079,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-38632,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-38667,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.7']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-42068,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-42077,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.6']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-42240,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['6.9']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2022-48938,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2022-48943,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2023-52904,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.15.152']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-42156,Non disponible,Non disponible,0.000450000,Non disponible,Non disponible,Linux,Linux,['4.11']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-42158,Non disponible,Non disponible,0.000430000,Non disponible,Non disponible,Linux,Linux,['4.11']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-43882,8.4,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-43892,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.7']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-44931,Non disponible,Non disponible,0.000440000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-44940,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-46724,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,[]
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-46849,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['4.19']
Multiples vulnérabilités dans le noyau Linux d'Ubuntu (20 décembre 2024),https://www.cert.ssi.gouv.fr/avis/CERTFR-2024-AVI-1101/,avis,CVE-2024-46852,Non disponible,Non disponible,0.000420000,Non disponible,Non disponible,Linux,Linux,['5.11']
